Organism MutS Tudor_domain Tudor_dist PWWP_domain PWWP_dist Tudor_call PWWP_call
"Corvus hawaiiensis" 2 0 Inf 4 0 Absent Present
"Agelaius phoeniceus" 2 0 Inf 4 21 Absent Present
"Sabethes cyaneus" 1 0 21219018 0 13035216 Absent Absent
"Hemibagrus wyckioides" 2 0 7070155 4 6367 Absent Present
"Mugil cephalus" 2 0 Inf 4 0 Absent Present
"Chelmon rostratus" 1 0 Inf 2 1203 Absent Present
"Harpia harpyja" 2 0 Inf 4 0 Absent Present
"Coccinella septempunctata" 1 0 Inf 0 34665818 Absent Absent
"Vidua chalybeata" 3 0 Inf 4 0 Absent Present
"Mauremys mutica" 2 0 Inf 4 22876 Absent Present
"Sciurus carolinensis" 3 0 Inf 6 0 Absent Present
"Molothrus ater" 2 0 Inf 4 21 Absent Present
"Gambusia affinis" 2 0 Inf 4 853 Absent Present
"Strigops habroptila" 2 0 Inf 4 0 Absent Present
"Triplophysa dalaica" 1 0 Inf 2 1635 Absent Present
"Rhopalosiphum maidis" 2 0 Inf 0 14970075 Absent Absent
"Indicator indicator" 1 0 Inf 2 17102 Absent Present
"Papilio machaon" 3 0 Inf 0 Inf Absent Absent
"Pieris napi" 1 0 Inf 0 3897957 Absent Absent
"Malus sylvestris" 1 2 342 0 Inf Present Absent
"Cygnus olor" 2 0 Inf 4 24 Absent Present
"Cataglyphis hispanica" 1 0 Inf 0 697615 Absent Absent
"Oenanthe melanoleuca" 1 0 Inf 2 1671 Absent Present
"Vidua macroura" 3 0 Inf 4 0 Absent Present
"Xiphophorus hellerii" 1 0 Inf 2 1466 Absent Present
"Gopherus flavomarginatus" 1 0 Inf 2 3063 Absent Present
"Camelus ferus" 2 0 Inf 4 24 Absent Present
"Scomber japonicus" 1 0 Inf 2 6391 Absent Present
"Anopheles moucheti" 1 0 54594206 0 20015914 Absent Absent
"Brienomyrus brachyistius" 2 0 Inf 3 48 Absent Present
"Leguminivora glycinivorella" 1 0 Inf 0 Inf Absent Absent
"Drechmeria coniospora" 2 0 6697602 0 36612 Absent Absent
"Besnoitia besnoiti" 2 0 Inf 0 Inf Absent Absent
"Notolabrus celidotus" 4 0 Inf 8 0 Absent Present
"Polyodon spathula" 5 0 Inf 10 0 Absent Present
"Drosophila gunungcola" 2 0 Inf 0 Inf Absent Absent
"Vespa crabro" 1 0 Inf 0 Inf Absent Absent
"Bradysia coprophila" 1 0 Inf 0 Inf Absent Absent
"Onychomys torridus" 1 0 Inf 2 10797 Absent Present
"Maniola hyperantus" 2 0 Inf 0 Inf Absent Absent
"Impatiens glandulifera" 1 2 8677 0 16677797 Present Absent
"Puntigrus tetrazona" 1 0 Inf 2 1658 Absent Present
"Lampris incognitus" 1 0 Inf 2 9505 Absent Present
"Podarcis muralis" 1 0 Inf 2 8528 Absent Present
"Uloborus diversus" 1 0 Inf 0 97067705 Absent Absent
"Gadus chalcogrammus" 1 0 3476345 2 8040 Absent Present
"Dioscorea cayenensis subsp. rotundata" 2 2 231 0 2300822 Present Absent
"Suricata suricatta" 2 0 Inf 4 0 Absent Present
"Macadamia integrifolia" 3 6 0 0 22155150 Present Absent
"Nematolebias whitei" 1 0 Inf 2 955 Absent Present
"Malaclemys terrapin pileata" 2 0 Inf 4 0 Absent Present
"Encephalitozoon hellem ATCC 50504" 2 0 47761 0 51674 Absent Absent
"Solanum stenotomum" 1 2 285 0 9741888 Present Absent
"Plasmodium cynomolgi strain B" 2 0 Inf 0 184763 Absent Absent
"Leopardus geoffroyi" 2 0 37445772 4 535 Absent Present
"Antechinus flavipes" 1 0 Inf 2 20583 Absent Present
"Magnolia sinica" 2 2 273 0 6677951 Present Absent
"Mustela erminea" 1 0 Inf 2 12262 Absent Present
"Chionomys nivalis" 1 0 Inf 2 10593 Absent Present
"Megalops cyprinoides" 1 0 Inf 2 7612 Absent Present
"Dunckerocampus dactyliophorus" 1 0 Inf 2 820 Absent Present
"Synchiropus splendidus" 1 0 Inf 2 4947 Absent Present
"Geotrypetes seraphini" 2 0 227444674 4 0 Absent Present
"Toxotes jaculatrix" 1 0 Inf 2 5733 Absent Present
"Myripristis murdjan" 2 0 Inf 4 0 Absent Present
"Leptidea sinapis" 2 0 Inf 0 Inf Absent Absent
"Girardinichthys multiradiatus" 1 0 Inf 2 6458 Absent Present
"Argiope bruennichi" 1 0 Inf 0 17289397 Absent Absent
"Gopherus evgoodei" 1 0 Inf 2 25987 Absent Present
"Echeneis naucrates" 1 0 Inf 2 839 Absent Present
"Telopea speciosissima" 1 2 33658 0 11643799 Present Absent
"Sebastes umbrosus" 1 0 Inf 2 7073 Absent Present
"Phacochoerus africanus" 1 0 Inf 2 12871 Absent Present
"Melanotaenia boesemani" 1 0 Inf 2 5647 Absent Present
"Bombus huntii" 1 0 Inf 0 Inf Absent Absent
"Vespula vulgaris" 2 0 Inf 0 Inf Absent Absent
"Neodiprion lecontei" 1 0 5544763 0 4208326 Absent Absent
"Lynx canadensis" 1 0 37361422 2 10031 Absent Present
"Erpetoichthys calabaricus" 1 0 Inf 2 15056 Absent Present
"Lacerta agilis" 1 0 Inf 2 11517 Absent Present
"Drosophila teissieri" 1 0 105854 0 Inf Absent Absent
"Cottoperca gobio" 1 0 Inf 2 739 Absent Present
"Arvicola amphibius" 1 0 Inf 2 10010 Absent Present
"Xyrauchen texanus" 1 0 Inf 2 16480 Absent Present
"Parambassis ranga" 2 0 Inf 4 0 Absent Present
"Suncus etruscus" 2 0 Inf 4 0 Absent Present
"Akanthomyces muscarius" 2 0 1909398 0 5605045 Absent Absent
"Neodiprion pinetum" 1 0 5573761 0 4289083 Absent Absent
